game,league,date,slug,g1_winner,g2_winner,series_winner,struct,prematch_price_available
DOTA,EPL World Series Southeast Asia Group Stage,2026-03-03,dota2-ivo-iac-2026-03-03,InterActive Philippines,Ivory,Ivory,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-03-04,dota2-lixoes-navij-2026-03-04,LiXO eSports,LiXO eSports,LiXO eSports,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group A,2026-03-04,dota2-lynx-vpp-2026-03-04,VP.Prodigy,VP.Prodigy,VP.Prodigy,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-03-04,dota2-dgs-lvlup1-2026-03-04,Level UP,Level UP,Level UP,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-03-04,dota2-yg-ivo-2026-03-04,Yangon Galacticos,Ivory,,2:1 打满,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-og-vg-2026-03-07,Vici Gaming,OG,Vici Gaming,2:1 打满,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-xtreme-ts8-2026-03-07,Team Spirit,Xtreme Gaming,Team Spirit,2:1 打满,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-aur1-mouz-2026-03-07,Aurora,Aurora,Aurora,2:0 横扫,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-pari-yes-2026-03-07,PARIVISION,PARIVISION,PARIVISION,2:0 横扫,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-liquid-bb4-2026-03-07,BetBoom Team,Team Liquid,Team Liquid,2:1 打满,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-flc-nem-2026-03-07,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-ty-heroic-2026-03-07,Heroic,Heroic,Heroic,2:0 横扫,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-07,dota2-tundra-navi-2026-03-07,Tundra Esports,Natus Vincere,Natus Vincere,2:1 打满,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-03-05,dota2-clo-iac-2026-03-05,InterActive Philippines,Cloud Rising,InterActive Philippines,2:1 打满,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-03-06,dota2-yg-clo-2026-03-06,Yangon Galacticos,Yangon Galacticos,Yangon Galacticos,2:0 横扫,否（无赛前价存档）
DOTA,PGL Wallachia Group Stage,2026-03-08,dota2-og-bb4-2026-03-08,BetBoom Team,BetBoom Team,BetBoom Team,2:0 横扫,否（无赛前价存档）
