league,date,slug,g1_winner,g2_winner,series_winner,struct,prematch_price_available
LCK,2026-03-30,lol-ktc-dnsc-2026-03-30,KT Rolster Challengers,KT Rolster Challengers,KT Rolster Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-03-30,lol-foxy-hle-2026-03-30,Hanwha Life Esports Challengers,Hanwha Life Esports Challengers,Hanwha Life Esports Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-03-30,lol-bro1-nsea-2026-03-30,Nongshim Esports Academy,HANJIN BRION Challengers,Nongshim Esports Academy,2:1 打满,否（无赛前价存档）
LCK,2026-03-31,lol-drxc-t1a-2026-03-31,T1 Academy,Kiwoom DRX Challengers,T1 Academy,2:1 打满,否（无赛前价存档）
LCK,2026-03-31,lol-dkc-genga-2026-03-31,Dplus KIA Challengers,Dplus KIA Challengers,Dplus KIA Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-01,lol-hle1-bro2-2026-04-01,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports,2:0 横扫,否（无赛前价存档）
LCK,2026-04-01,lol-t1-kt-2026-04-01,KT Rolster,KT Rolster,KT Rolster,2:0 横扫,否（无赛前价存档）
LCK,2026-04-02,lol-dk-ns-2026-04-02,Nongshim Red Force,Nongshim Red Force,Nongshim Red Force,2:0 横扫,否（无赛前价存档）
LCK,2026-04-02,lol-drx-dnf-2026-04-02,DN SOOPers,DN SOOPers,DN SOOPers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-02,lol-drxc-ktc-2026-04-02,Kiwoom DRX Challengers,KT Rolster Challengers,Kiwoom DRX Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-02,lol-genga-bro1-2026-04-02,HANJIN BRION Challengers,Gen.G Global Academy,HANJIN BRION Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-03,lol-gen-kt-2026-04-03,KT Rolster,Gen.G,KT Rolster,2:1 打满,否（无赛前价存档）
LCK,2026-04-03,lol-fox1-bro2-2026-04-03,HANJIN BRION,HANJIN BRION,HANJIN BRION,2:0 横扫,否（无赛前价存档）
LCK,2026-04-03,lol-hle-t1a-2026-04-03,T1 Academy,T1 Academy,T1 Academy,2:0 横扫,否（无赛前价存档）
LCK,2026-04-03,lol-dnsc-dkc-2026-04-03,Dplus KIA Challengers,Dplus KIA Challengers,Dplus KIA Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-03,lol-nsea-foxy-2026-04-03,Nongshim Esports Academy,Nongshim Esports Academy,Nongshim Esports Academy,2:0 横扫,否（无赛前价存档）
LCK,2026-04-04,lol-t1-hle1-2026-04-04,T1,T1,T1,2:0 横扫,否（无赛前价存档）
LCK,2026-04-04,lol-drx-dk-2026-04-04,Dplus KIA,Dplus KIA,Dplus KIA,2:0 横扫,否（无赛前价存档）
LCK,2026-04-05,lol-ns-dnf-2026-04-05,Nongshim Red Force,Nongshim Red Force,Nongshim Red Force,2:0 横扫,否（无赛前价存档）
LCK,2026-04-05,lol-gen-fox1-2026-04-05,Gen.G,Gen.G,Gen.G,2:0 横扫,否（无赛前价存档）
LCK,2026-04-06,lol-ktc-dkc-2026-04-06,KT Rolster Challengers,Dplus KIA Challengers,KT Rolster Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-06,lol-foxy-genga-2026-04-06,Gen.G Global Academy,BNK FearX Youth,BNK FearX Youth,2:1 打满,否（无赛前价存档）
LCK,2026-04-06,lol-bro1-dnsc-2026-04-06,DN SOOPers Challengers,HANJIN BRION Challengers,DN SOOPers Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-07,lol-hle-drxc-2026-04-07,Kiwoom DRX Challengers,Kiwoom DRX Challengers,Kiwoom DRX Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-07,lol-t1a-nsea-2026-04-07,Nongshim Esports Academy,T1 Academy,T1 Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-08,lol-dk-hle1-2026-04-08,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports,2:0 横扫,否（无赛前价存档）
LCK,2026-04-08,lol-t1-gen-2026-04-08,Gen.G,Gen.G,Gen.G,2:0 横扫,否（无赛前价存档）
LCK,2026-04-09,lol-dkc-bro1-2026-04-09,Dplus KIA Challengers,HANJIN BRION Challengers,Dplus KIA Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-09,lol-genga-t1a-2026-04-09,T1 Academy,Gen.G Global Academy,T1 Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-09,lol-dnsc-foxy-2026-04-09,DN SOOPers Challengers,BNK FearX Youth,DN SOOPers Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-09,lol-bro2-drx-2026-04-09,HANJIN BRION,Kiwoom DRX,Kiwoom DRX,2:1 打满,否（无赛前价存档）
LCK,2026-04-09,lol-kt-ns-2026-04-09,KT Rolster,KT Rolster,KT Rolster,2:0 横扫,否（无赛前价存档）
LCK,2026-04-10,lol-ktc-hle-2026-04-10,Hanwha Life Esports Challengers,Hanwha Life Esports Challengers,Hanwha Life Esports Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-10,lol-nsea-drxc-2026-04-10,Nongshim Esports Academy,Kiwoom DRX Challengers,Nongshim Esports Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-10,lol-hle1-fox1-2026-04-10,Hanwha Life Esports,BNK FEARX,Hanwha Life Esports,2:1 打满,否（无赛前价存档）
LCK,2026-04-10,lol-dnf-t1-2026-04-10,T1,T1,T1,2:0 横扫,否（无赛前价存档）
LCK,2026-04-11,lol-ns-drx-2026-04-11,Kiwoom DRX,Kiwoom DRX,Kiwoom DRX,2:0 横扫,否（无赛前价存档）
LCK,2026-04-11,lol-dk-gen-2026-04-11,Dplus KIA,Dplus KIA,Dplus KIA,2:0 横扫,否（无赛前价存档）
LCK,2026-04-12,lol-fox1-dnf-2026-04-12,BNK FEARX,BNK FEARX,BNK FEARX,2:0 横扫,否（无赛前价存档）
LCK,2026-04-12,lol-bro2-kt-2026-04-12,KT Rolster,KT Rolster,KT Rolster,2:0 横扫,否（无赛前价存档）
LCK,2026-04-13,lol-bro1-ktc-2026-04-13,KT Rolster Challengers,KT Rolster Challengers,KT Rolster Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-13,lol-nsea-hle-2026-04-13,Hanwha Life Esports Challengers,Hanwha Life Esports Challengers,Hanwha Life Esports Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-13,lol-genga-drxc-2026-04-13,Gen.G Global Academy,Gen.G Global Academy,Gen.G Global Academy,2:0 横扫,否（无赛前价存档）
LCK,2026-04-14,lol-foxy-dkc-2026-04-14,Dplus KIA Challengers,BNK FearX Youth,Dplus KIA Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-14,lol-dnsc-t1a-2026-04-14,DN SOOPers Challengers,T1 Academy,T1 Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-15,lol-ns-fox1-2026-04-15,Nongshim Red Force,Nongshim Red Force,Nongshim Red Force,2:0 横扫,否（无赛前价存档）
LCK,2026-04-15,lol-kt-dk-2026-04-15,Dplus KIA,KT Rolster,KT Rolster,2:1 打满,否（无赛前价存档）
LCK,2026-04-16,lol-nsea-ktc-2026-04-16,KT Rolster Challengers,Nongshim Esports Academy,Nongshim Esports Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-16,lol-hle-genga-2026-04-16,Gen.G Global Academy,Hanwha Life Esports Challengers,Gen.G Global Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-16,lol-drxc-dnsc-2026-04-16,Kiwoom DRX Challengers,DN SOOPers Challengers,DN SOOPers Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-16,lol-bro2-gen-2026-04-16,Gen.G,Gen.G,Gen.G,2:0 横扫,否（无赛前价存档）
LCK,2026-04-16,lol-dnf-hle1-2026-04-16,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports,2:0 横扫,否（无赛前价存档）
LCK,2026-04-17,lol-bro1-foxy-2026-04-17,BNK FearX Youth,BNK FearX Youth,BNK FearX Youth,2:0 横扫,否（无赛前价存档）
LCK,2026-04-17,lol-t1a-dkc-2026-04-17,Dplus KIA Challengers,Dplus KIA Challengers,Dplus KIA Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-17,lol-drx-fox1-2026-04-17,BNK FEARX,BNK FEARX,BNK FEARX,2:0 横扫,否（无赛前价存档）
LCK,2026-04-17,lol-dk-t1-2026-04-17,Dplus KIA,T1,Dplus KIA,2:1 打满,否（无赛前价存档）
LCK,2026-04-18,lol-dnf-kt-2026-04-18,KT Rolster,KT Rolster,KT Rolster,2:0 横扫,否（无赛前价存档）
LCK,2026-04-18,lol-hle1-gen-2026-04-18,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports,2:0 横扫,否（无赛前价存档）
LCK,2026-04-19,lol-bro2-ns-2026-04-19,HANJIN BRION,Nongshim Red Force,Nongshim Red Force,2:1 打满,否（无赛前价存档）
LCK,2026-04-19,lol-drx-t1-2026-04-19,T1,T1,T1,2:0 横扫,否（无赛前价存档）
LCK,2026-04-20,lol-genga-nsea-2026-04-20,Nongshim Esports Academy,Nongshim Esports Academy,Nongshim Esports Academy,2:0 横扫,否（无赛前价存档）
LCK,2026-04-20,lol-foxy-ktc-2026-04-20,BNK FearX Youth,KT Rolster Challengers,KT Rolster Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-21,lol-hle-dnsc-2026-04-21,Hanwha Life Esports Challengers,DN SOOPers Challengers,DN SOOPers Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-21,lol-dkc-drxc-2026-04-21,Dplus KIA Challengers,Kiwoom DRX Challengers,Kiwoom DRX Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-22,lol-kt-drx-2026-04-22,KT Rolster,KT Rolster,KT Rolster,2:0 横扫,否（无赛前价存档）
LCK,2026-04-22,lol-hle1-ns-2026-04-22,Hanwha Life Esports,Nongshim Red Force,Hanwha Life Esports,2:1 打满,否（无赛前价存档）
LCK,2026-04-23,lol-hle-dkc-2026-04-23,Dplus KIA Challengers,Hanwha Life Esports Challengers,Dplus KIA Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-23,lol-drxc-bro1-2026-04-23,Kiwoom DRX Challengers,Kiwoom DRX Challengers,Kiwoom DRX Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-23,lol-gen-dnf-2026-04-23,Gen.G,Gen.G,Gen.G,2:0 横扫,否（无赛前价存档）
LCK,2026-04-23,lol-bro2-dk-2026-04-23,Dplus KIA,Dplus KIA,Dplus KIA,2:0 横扫,否（无赛前价存档）
LCK,2026-04-24,lol-ktc-genga-2026-04-24,KT Rolster Challengers,KT Rolster Challengers,KT Rolster Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-24,lol-nsea-dnsc-2026-04-24,Nongshim Esports Academy,DN SOOPers Challengers,Nongshim Esports Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-24,lol-hle1-drx-2026-04-24,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports,2:0 横扫,否（无赛前价存档）
LCK,2026-04-24,lol-fox1-kt-2026-04-24,KT Rolster,KT Rolster,KT Rolster,2:0 横扫,否（无赛前价存档）
LCK,2026-04-25,lol-t1-bro2-2026-04-25,T1,T1,T1,2:0 横扫,否（无赛前价存档）
LCK,2026-04-25,lol-dk-dnf-2026-04-25,Dplus KIA,Dplus KIA,Dplus KIA,2:0 横扫,否（无赛前价存档）
LCK,2026-04-25,lol-t1a-bro1-2026-04-25,T1 Academy,T1 Academy,T1 Academy,2:0 横扫,否（无赛前价存档）
LCK,2026-04-26,lol-t1-fox1-2026-04-26,T1,T1,T1,2:0 横扫,否（无赛前价存档）
LCK,2026-04-26,lol-ns-gen-2026-04-26,Gen.G,Gen.G,Gen.G,2:0 横扫,否（无赛前价存档）
LCK,2026-04-26,lol-t1a-foxy-2026-04-26,T1 Academy,BNK FearX Youth,T1 Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-27,lol-bro1-hle-2026-04-27,HANJIN BRION Challengers,HANJIN BRION Challengers,HANJIN BRION Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-27,lol-dnsc-genga-2026-04-27,DN SOOPers Challengers,DN SOOPers Challengers,DN SOOPers Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-27,lol-dkc-nsea-2026-04-27,Dplus KIA Challengers,Dplus KIA Challengers,Dplus KIA Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-28,lol-foxy-drxc-2026-04-28,BNK FearX Youth,BNK FearX Youth,BNK FearX Youth,2:0 横扫,否（无赛前价存档）
LCK,2026-04-28,lol-ktc-t1a-2026-04-28,KT Rolster Challengers,T1 Academy,T1 Academy,2:1 打满,否（无赛前价存档）
LCK,2026-04-29,lol-ns-t1-2026-04-29,T1,T1,T1,2:0 横扫,否（无赛前价存档）
LCK,2026-04-29,lol-kt-hle1-2026-04-29,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports,2:0 横扫,否（无赛前价存档）
LCK,2026-04-30,lol-dnsc-ktc-2026-04-30,KT Rolster Challengers,KT Rolster Challengers,KT Rolster Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-30,lol-genga-dkc-2026-04-30,Gen.G Global Academy,Dplus KIA Challengers,Dplus KIA Challengers,2:1 打满,否（无赛前价存档）
LCK,2026-04-30,lol-nsea-bro1-2026-04-30,HANJIN BRION Challengers,HANJIN BRION Challengers,HANJIN BRION Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-04-30,lol-gen-drx-2026-04-30,Gen.G,Kiwoom DRX,Gen.G,2:1 打满,否（无赛前价存档）
LCK,2026-04-30,lol-fox1-dk-2026-04-30,Dplus KIA,Dplus KIA,Dplus KIA,2:0 横扫,否（无赛前价存档）
LCK,2026-05-01,lol-hle-foxy-2026-05-01,BNK FearX Youth,Hanwha Life Esports Challengers,BNK FearX Youth,2:1 打满,否（无赛前价存档）
LCK,2026-05-01,lol-t1a-drxc-2026-05-01,Kiwoom DRX Challengers,Kiwoom DRX Challengers,Kiwoom DRX Challengers,2:0 横扫,否（无赛前价存档）
LCK,2026-05-01,lol-dnf-bro2-2026-05-01,HANJIN BRION,HANJIN BRION,HANJIN BRION,2:0 横扫,否（无赛前价存档）
LCK,2026-05-01,lol-hle1-t1-2026-05-01,Hanwha Life Esports,T1,Hanwha Life Esports,2:1 打满,否（无赛前价存档）
